treatment,nursery,line,species,depth,coral.id,colony,harvest.year,year,survival,colony.group,colony.depth,colony.year
GlassbottomYear 1,Glassbottom,44,APAL,6,122,256,1,Year 1,1,Rocky,Rocky6,RockyYear 1
GlassbottomYear 2,Glassbottom,44,APAL,6,122,256,1,Year 2,1,Rocky,Rocky6,RockyYear 2
GlassbottomYear 3,Glassbottom,44,APAL,6,122,256,1,Year 3,1,Rocky,Rocky6,RockyYear 3
GlassbottomYear 1,Glassbottom,44,APAL,6,157,260,1,Year 1,1,Midway,Midway6,MidwayYear 1
GlassbottomYear 2,Glassbottom,44,APAL,6,157,260,1,Year 2,1,Midway,Midway6,MidwayYear 2
GlassbottomYear 3,Glassbottom,44,APAL,6,157,260,1,Year 3,1,Midway,Midway6,MidwayYear 3
GlassbottomYear 1,Glassbottom,44,APAL,6,158,260,1,Year 1,1,Midway,Midway6,MidwayYear 1
GlassbottomYear 2,Glassbottom,44,APAL,6,158,260,1,Year 2,1,Midway,Midway6,MidwayYear 2
GlassbottomYear 3,Glassbottom,44,APAL,6,158,260,1,Year 3,1,Midway,Midway6,MidwayYear 3
GlassbottomYear 1,Glassbottom,44,APAL,6,216,401,"1,2",Year 1,1,unknown,unknown6,unknownYear 1
GlassbottomYear 2,Glassbottom,44,APAL,6,216,401,"1,2",Year 2,1,unknown,unknown6,unknownYear 2
GlassbottomYear 3,Glassbottom,44,APAL,6,216,401,"1,2",Year 3,1,unknown,unknown6,unknownYear 3
GlassbottomYear 1,Glassbottom,44,APAL,6,224,401,1,Year 1,1,unknown,unknown6,unknownYear 1
GlassbottomYear 2,Glassbottom,44,APAL,6,224,401,1,Year 2,1,unknown,unknown6,unknownYear 2
GlassbottomYear 3,Glassbottom,44,APAL,6,224,401,1,Year 3,1,unknown,unknown6,unknownYear 3
GlassbottomYear 1,Glassbottom,44,APAL,6,231,369,1,Year 1,1,unknown,unknown6,unknownYear 1
GlassbottomYear 2,Glassbottom,44,APAL,6,231,369,1,Year 2,1,unknown,unknown6,unknownYear 2
GlassbottomYear 3,Glassbottom,44,APAL,6,231,369,1,Year 3,1,unknown,unknown6,unknownYear 3
GlassbottomYear 1,Glassbottom,44,APAL,6,236,369,1,Year 1,1,unknown,unknown6,unknownYear 1
GlassbottomYear 2,Glassbottom,44,APAL,6,236,369,1,Year 2,1,unknown,unknown6,unknownYear 2
GlassbottomYear 3,Glassbottom,44,APAL,6,236,369,1,Year 3,1,unknown,unknown6,unknownYear 3
