colony_uid,study,region,population_type,n_intervals,followup_years,death_event,shrink_events,ever_shrunk,mean_timeline_events,prop_acute_exposure
NOAA_survey::CF1-t031,NOAA_survey,Florida Keys,Natural colony,2,1.8547945205479401,1,2,1,3.5,1
NOAA_survey::CF1-t032,NOAA_survey,Florida Keys,Natural colony,3,3.08219178082191,1,2,1,3,0.6666666666666666
NOAA_survey::CF1-t033,NOAA_survey,Florida Keys,Natural colony,10,9.832876712328753,0,8,1,2.6,0.4
NOAA_survey::CF1-t034,NOAA_survey,Florida Keys,Natural colony,4,4.09863013698629,0,1,1,2.75,0.5
NOAA_survey::CF1-t035,NOAA_survey,Florida Keys,Natural colony,1,1.14520547945205,0,1,1,4,1
NOAA_survey::CF1-t036,NOAA_survey,Florida Keys,Natural colony,2,1.8547945205479401,0,2,1,3.5,1
NOAA_survey::CF1-t229,NOAA_survey,Florida Keys,Natural colony,1,0.980821917808219,0,0,0,2,0
NOAA_survey::CF1-t230,NOAA_survey,Florida Keys,Natural colony,1,0.671232876712329,1,0,0,2,0
NOAA_survey::CF1-t428,NOAA_survey,Florida Keys,Natural colony,1,0.994520547945206,1,0,0,3,0
NOAA_survey::CF1-t949,NOAA_survey,Florida Keys,Natural colony,2,1.980821917808219,1,0,0,2,0
NOAA_survey::CF1-t950,NOAA_survey,Florida Keys,Natural colony,2,1.980821917808219,0,1,1,2,0
NOAA_survey::CF1-t951,NOAA_survey,Florida Keys,Natural colony,1,0.980821917808219,0,0,0,2,0
NOAA_survey::CF2-t038,NOAA_survey,Florida Keys,Natural colony,11,10.909589041095874,1,6,1,2.6363636363636362,0.36363636363636365
NOAA_survey::CF2-t039,NOAA_survey,Florida Keys,Natural colony,1,1.14520547945205,0,1,1,4,1
NOAA_survey::CF2-t040,NOAA_survey,Florida Keys,Natural colony,11,10.909589041095874,1,5,1,2.6363636363636362,0.36363636363636365
NOAA_survey::CF2-t041,NOAA_survey,Florida Keys,Natural colony,5,5.15616438356163,1,1,1,2.8,0.6
NOAA_survey::CF2-t042,NOAA_survey,Florida Keys,Natural colony,12,11.926027397260254,1,2,1,2.75,0.4166666666666667
NOAA_survey::CF2-t043,NOAA_survey,Florida Keys,Natural colony,11,10.909589041095874,0,5,1,2.6363636363636362,0.36363636363636365
NOAA_survey::CF2-t044,NOAA_survey,Florida Keys,Natural colony,3,3.08219178082191,1,2,1,3,0.6666666666666666
NOAA_survey::CF2-t045,NOAA_survey,Florida Keys,Natural colony,11,10.909589041095874,1,4,1,2.6363636363636362,0.36363636363636365
NOAA_survey::CF2-t046,NOAA_survey,Florida Keys,Natural colony,8,7.789041095890397,1,3,1,2.625,0.5
NOAA_survey::CF2-t047,NOAA_survey,Florida Keys,Natural colony,11,10.909589041095874,1,6,1,2.6363636363636362,0.36363636363636365
NOAA_survey::CF2-t048,NOAA_survey,Florida Keys,Natural colony,11,10.909589041095874,1,3,1,2.6363636363636362,0.36363636363636365
NOAA_survey::CF2-t049,NOAA_survey,Florida Keys,Natural colony,11,10.909589041095874,1,5,1,2.6363636363636362,0.36363636363636365
NOAA_survey::CF2-t228,NOAA_survey,Florida Keys,Natural colony,4,3.79178082191781,1,2,1,2.75,0
NOAA_survey::CF2-t395,NOAA_survey,Florida Keys,Natural colony,2,1.9945205479452022,1,1,1,3,0
NOAA_survey::CF2-t396,NOAA_survey,Florida Keys,Natural colony,2,1.9945205479452022,1,2,1,3,0
NOAA_survey::CF2-t426,NOAA_survey,Florida Keys,Natural colony,1,0.994520547945206,0,1,1,3,0
NOAA_survey::CF2-t427,NOAA_survey,Florida Keys,Natural colony,1,0.994520547945206,0,1,1,3,0
NOAA_survey::CF2-t946,NOAA_survey,Florida Keys,Natural colony,2,1.980821917808219,0,2,1,2,0
NOAA_survey::CF2-t947,NOAA_survey,Florida Keys,Natural colony,1,0.726027397260274,1,0,0,2,0
NOAA_survey::CF2-t948,NOAA_survey,Florida Keys,Natural colony,5,4.772602739726028,1,1,1,2.6,0
NOAA_survey::CF3-t087,NOAA_survey,Florida Keys,Natural colony,1,1.13150684931507,0,0,0,4,1
NOAA_survey::CF3-t088,NOAA_survey,Florida Keys,Natural colony,16,18.934246575342456,0,9,1,2.6875,0.4375
NOAA_survey::CF3-t089,NOAA_survey,Florida Keys,Natural colony,1,1.13150684931507,0,0,0,4,1
NOAA_survey::CF3-t090,NOAA_survey,Florida Keys,Natural colony,13,12.799999999999988,0,7,1,2.8461538461538463,0.46153846153846156
NOAA_survey::CF3-t091,NOAA_survey,Florida Keys,Natural colony,4,4.08493150684931,0,0,0,2.75,0.5
NOAA_survey::CF3-t092,NOAA_survey,Florida Keys,Natural colony,16,18.934246575342456,0,10,1,2.6875,0.4375
NOAA_survey::CF3-t093,NOAA_survey,Florida Keys,Natural colony,3,3.06849315068493,1,2,1,3,0.6666666666666666
